device;loading_datetime;GPU_temp_celsius;CPU_temp_celsius;frequency_arm_hz;frequency_core_hz;frequency_pwm_hz;voltage_core_v;voltage_sdram_c_v;voltage_sdram_i_v;voltage_sdram_p_v;memory_arm_bytes;memory_gpu_bytes;throttled
raspberry-pi-4b;2022-10-06@18:19:40;462;46251;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:44;477;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:46;467;48199;1800404352;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:49;467;46738;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:51;467;47225;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:54;467;46738;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:19:57;477;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:00;472;47225;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:02;477;47225;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:04;482;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:07;467;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:11;477;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:13;462;47225;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:16;462;46251;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:19;477;47712;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:23;472;47225;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:25;477;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:45;477;47712;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:46;482;48199;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:48;482;48199;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:52;467;46738;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:20:55;472;47225;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:04;477;47712;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:07;487;48686;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:11;496;4966;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:15;501;50147;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:17;491;50634;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:25;516;50634;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:28;525;52582;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:30;496;50634;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:41;525;53069;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:44;525;52582;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:46;53;52582;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:49;535;5453;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:52;535;54043;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:55;535;53556;1800457088;500000992;107129880;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:21:57;535;5453;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:03;54;54043;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:12;564;56478;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:16;584;58426;1800404352;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:19;599;594;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:26;608;59887;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:29;618;60861;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:34;618;62322;1800404352;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:41;633;63296;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:44;628;64757;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:22:58;662;66218;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:23:07;662;66705;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:23:14;652;65244;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:23:30;662;66705;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:23:33;662;67192;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:23:37;681;68166;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:23:40;676;67679;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
